Date,CPI_Release
12/1/99,20000114
1/1/00,20000218
2/1/00,20000317
3/1/00,20000414
4/1/00,20000516
5/1/00,20000614
6/1/00,20000718
7/1/00,20000816
8/1/00,20000915
9/1/00,20001018
10/1/00,20001116
11/1/00,20001215
12/1/00,20010117
1/1/01,20010221
2/1/01,20010321
3/1/01,20010417
4/1/01,20010516
5/1/01,20010615
6/1/01,20010718
7/1/01,20010816
8/1/01,20010918
9/1/01,20011019
10/1/01,20011116
11/1/01,20011214
12/1/01,20020116
1/1/02,20020220
2/1/02,20020321
3/1/02,20020416
4/1/02,20020515
5/1/02,20020618
6/1/02,20020719
7/1/02,20020816
8/1/02,20020918
9/1/02,20021018
10/1/02,20021119
11/1/02,20021217
12/1/02,20030116
1/1/03,20030221
2/1/03,20030321
3/1/03,20030416
4/1/03,20030516
5/1/03,20030617
6/1/03,20030716
7/1/03,20030815
8/1/03,20030916
9/1/03,20031016
10/1/03,20031118
11/1/03,20031216
12/1/03,20040115
1/1/04,20040220
2/1/04,20040317
3/1/04,20040414
4/1/04,20040514
5/1/04,20040615
6/1/04,20040716
7/1/04,20040817
8/1/04,20040916
9/1/04,20041019
10/1/04,20041117
11/1/04,20041217
12/1/04,20050119
1/1/05,20050223
2/1/05,20050323
3/1/05,20050420
4/1/05,20050518
5/1/05,20050615
6/1/05,20050714
7/1/05,20050816
8/1/05,20050915
9/1/05,20051014
10/1/05,20051116
11/1/05,20051215
12/1/05,20060118
1/1/06,20060222
2/1/06,20060316
3/1/06,20060419
4/1/06,20060517
5/1/06,20060614
6/1/06,20060719
7/1/06,20060816
8/1/06,20060915
9/1/06,20061018
10/1/06,20061116
11/1/06,20061215
12/1/06,20070118
1/1/07,20070221
2/1/07,20070316
3/1/07,20070417
4/1/07,20070515
5/1/07,20070615
6/1/07,20070718
7/1/07,20070815
8/1/07,20070919
9/1/07,20071017
10/1/07,20071115
11/1/07,20071214
12/1/07,20080116
1/1/08,20080220
2/1/08,20080314
3/1/08,20080416
4/1/08,20080514
5/1/08,20080613
6/1/08,20080716
7/1/08,20080814
8/1/08,20080916
9/1/08,20081016
10/1/08,20081119
11/1/08,20081216
12/1/08,20090116
1/1/09,20090220
2/1/09,20090318
3/1/09,20090415
4/1/09,20090515
5/1/09,20090617
6/1/09,20090715
7/1/09,20090814
8/1/09,20090916
9/1/09,20091015
10/1/09,20091118
11/1/09,20091216
12/1/09,20100115
1/1/10,20100219
2/1/10,20100318
3/1/10,20100414
4/1/10,20100519
5/1/10,20100617
6/1/10,20100716
7/1/10,20100813
8/1/10,20100917
9/1/10,20101015
10/1/10,20101117
11/1/10,20101215
12/1/10,20110114
1/1/11,20110217
2/1/11,20110317
3/1/11,20110415
4/1/11,20110513
5/1/11,20110615
6/1/11,20110715
7/1/11,20110818
8/1/11,20110915
9/1/11,20111019
10/1/11,20111116
11/1/11,20111216
12/1/11,20120119
1/1/12,20120217
2/1/12,20120316
3/1/12,20120413
4/1/12,20120515
5/1/12,20120614
6/1/12,20120717
7/1/12,20120815
8/1/12,20120914
9/1/12,20121016
10/1/12,20121115
11/1/12,20121214
12/1/12,20130116
1/1/13,20130221
2/1/13,20130315
3/1/13,20130416
4/1/13,20130516
5/1/13,20130618
6/1/13,20130716
7/1/13,20130815
8/1/13,20130917
9/1/13,20131030
10/1/13,20131120
11/1/13,20131217
12/1/13,20140116
1/1/14,20140220
2/1/14,20140318
3/1/14,20140415
4/1/14,20140515
5/1/14,20140617
6/1/14,20140722
7/1/14,20140819
8/1/14,20140917
9/1/14,20141022
10/1/14,20141120
11/1/14,20141217
12/1/14,20150116
1/1/15,20150226
2/1/15,20150324
3/1/15,20150417
4/1/15,20150522
