Date,dxy
1/3/00,100.22
1/4/00,100.41
1/5/00,100.38
1/6/00,100.48
1/7/00,100.72
1/10/00,100.99
1/11/00,100.56
1/12/00,100.62
1/13/00,101
1/14/00,101.72
1/17/00,101.77
1/18/00,101.86
1/19/00,101.76
1/20/00,101.36
1/21/00,101.81
1/24/00,102.2
1/25/00,102.41
1/26/00,102.44
1/27/00,103.17
1/28/00,104.48
1/31/00,105.13
2/1/00,104.92
2/2/00,104.79
2/3/00,103.8
2/4/00,104.29
2/7/00,104.64
2/8/00,104.22
2/9/00,103.5
2/10/00,104.13
2/11/00,104.1
2/14/00,104.72
2/15/00,104.69
2/16/00,104.28
2/17/00,104.27
2/18/00,104.63
2/21/00,104.51
2/22/00,103.28
2/23/00,103.53
2/24/00,104.01
2/25/00,105.26
2/28/00,105.27
2/29/00,105.92
3/1/00,104.89
3/2/00,105.78
3/3/00,106
3/6/00,106.16
3/7/00,106.01
3/8/00,105.96
3/9/00,105.37
3/10/00,105.71
3/13/00,105.5
3/14/00,105.2
3/15/00,105.38
3/16/00,105.18
3/17/00,105.2
3/20/00,105.15
3/21/00,105.81
3/22/00,106.04
3/23/00,105.23
3/24/00,104.77
3/27/00,105.3
3/28/00,105.53
3/29/00,106.22
3/30/00,105.47
3/31/00,105.44
4/3/00,105.54
4/4/00,105.17
4/5/00,105.29
4/6/00,105.52
4/7/00,105.97
4/10/00,105.68
4/11/00,105.94
4/12/00,105.96
4/13/00,106.14
4/14/00,105.47
4/17/00,106.13
4/18/00,106.63
4/19/00,107.13
4/20/00,107.45
4/24/00,107.28
4/25/00,108.67
4/26/00,108.55
4/27/00,109.57
4/28/00,110.14
5/1/00,109.63
5/2/00,110.26
5/3/00,111.26
5/4/00,111.8
5/5/00,111.31
5/8/00,111.45
5/9/00,110.75
5/10/00,110.8
5/11/00,111.52
5/12/00,109.9
5/15/00,110.56
5/16/00,111.31
5/17/00,112.1
5/18/00,112.09
5/19/00,111.47
5/22/00,111.18
5/23/00,111.44
5/24/00,111.22
5/25/00,110.74
5/26/00,109.12
5/30/00,108.93
5/31/00,108.74
6/1/00,109.05
6/2/00,108.12
6/5/00,107.46
6/6/00,106.59
6/7/00,106.18
6/8/00,106.73
6/9/00,106.99
6/12/00,106.97
6/13/00,106.4
6/14/00,106.46
6/15/00,106.88
6/16/00,105.96
6/19/00,106.33
6/20/00,106.64
6/21/00,107.43
6/22/00,107.94
6/23/00,108.1
6/26/00,108.2
6/27/00,107.36
6/28/00,107.67
6/29/00,106.91
6/30/00,106.84
7/3/00,107.09
7/4/00,107.29
7/5/00,107.12
7/6/00,107.4
7/7/00,107.65
7/10/00,106.91
7/11/00,107.09
7/12/00,108.04
7/13/00,108.54
7/14/00,108.45
7/17/00,108.62
7/18/00,109.38
7/19/00,109.54
7/20/00,108.62
7/21/00,108.44
7/24/00,108.63
7/25/00,108.31
7/26/00,107.97
7/27/00,108.92
7/28/00,109.74
7/31/00,109.61
8/1/00,110.6
8/2/00,110.48
8/3/00,110.98
8/4/00,110.85
8/7/00,110.85
8/8/00,111.32
8/9/00,111.44
