Date,FedFunds,Change
2/2/00,5.75,0.25
3/21/00,6,0.25
5/16/00,6.5,0.5
6/28/00,6.5,0
8/22/00,6.5,0
10/3/00,6.5,0
11/15/00,6.5,0
12/19/00,6.5,0
1/3/01,6,-0.5
1/31/01,5.5,-0.5
3/20/01,5,-0.5
4/18/01,4.5,-0.5
5/15/01,4,-0.5
6/27/01,3.75,-0.25
8/21/01,3.5,-0.25
9/17/01,3,-0.5
10/2/01,2.5,-0.5
11/6/01,2,-0.5
12/11/01,1.75,-0.25
1/30/02,1.75,0
3/19/02,1.75,0
5/7/02,1.75,0
6/26/02,1.75,0
8/13/02,1.75,0
9/24/02,1.75,0
11/6/02,1.25,-0.5
12/10/02,1.25,0
1/29/03,1.25,0
3/18/03,1.25,0
5/6/03,1.25,0
6/25/03,1,-0.25
8/12/03,1,0
9/16/03,1,0
10/28/03,1,0
12/9/03,1,0
1/28/04,1,0
3/16/04,1,0
5/4/04,1,0
6/30/04,1.25,0.25
8/10/04,1.5,0.25
9/21/04,1.75,0.25
11/10/04,2,0.25
12/14/04,2.25,0.25
2/2/05,2.5,0.25
3/22/05,2.75,0.25
5/3/05,3,0.25
6/30/05,3.25,0.25
8/9/05,3.5,0.25
9/20/05,3.75,0.25
11/1/05,4,0.25
12/13/05,4.25,0.25
1/31/06,4.5,0.25
3/28/06,4.75,0.25
5/10/06,5,0.25
6/29/06,5.25,0.25
8/8/06,5.25,0
9/20/06,5.25,0
10/25/06,5.25,0
12/12/06,5.25,0
1/31/07,5.25,0
3/21/07,5.25,0
5/9/07,5.25,0
6/28/07,5.25,0
8/7/07,5.25,0
9/18/07,4.75,-0.5
10/31/07,4.5,-0.25
12/11/07,4.25,-0.25
1/22/08,3.5,-0.75
1/30/08,3,-0.5
3/18/08,2.25,-0.75
4/30/08,2,-0.25
6/25/08,2,0
8/5/08,2,0
9/16/08,2,0
10/8/08,1.5,-0.5
10/29/08,1,-0.5
12/16/08,0.125,-0.875
1/28/09,0.125,0
3/18/09,0.125,0
4/29/09,0.125,0
6/24/09,0.125,0
8/12/09,0.125,0
9/23/09,0.125,0
11/4/09,0.125,0
12/16/09,0.125,0
1/27/10,0.125,0
3/16/10,0.125,0
4/28/10,0.125,0
5/9/10,0.125,0
6/23/10,0.125,0
8/10/10,0.125,0
9/21/10,0.125,0
11/3/10,0.125,0
12/14/10,0.125,0
1/26/11,0.125,0
3/15/11,0.125,0
4/27/11,0.125,0
6/22/11,0.125,0
8/9/11,0.125,0
9/21/11,0.125,0
11/2/11,0.125,0
12/13/11,0.125,0
1/25/12,0.125,0
3/13/12,0.125,0
4/25/12,0.125,0
6/20/12,0.125,0
8/1/12,0.125,0
9/13/12,0.125,0
10/24/12,0.125,0
12/12/12,0.125,0
1/30/13,0.125,0
3/20/13,0.125,0
5/1/13,0.125,0
6/19/13,0.125,0
7/31/13,0.125,0
9/18/13,0.125,0
10/30/13,0.125,0
12/18/13,0.125,0
1/29/14,0.125,0
3/19/14,0.125,0
4/30/14,0.125,0
6/18/14,0.125,0
7/30/14,0.125,0
9/17/14,0.125,0
10/29/14,0.125,0
12/17/14,0.125,0
1/28/15,0.125,0
3/18/15,0.125,0
4/29/15,0.125,0
,,
,,
,,
,,
,,
,,
