Date,sp500
1/3/00,1455.22
1/4/00,1399.42
1/5/00,1402.11
1/6/00,1403.45
1/7/00,1441.47
1/10/00,1457.6
1/11/00,1438.56
1/12/00,1432.25
1/13/00,1449.68
1/14/00,1465.15
1/18/00,1455.14
1/19/00,1455.9
1/20/00,1445.57
1/21/00,1441.36
1/24/00,1401.53
1/25/00,1410.03
1/26/00,1404.09
1/27/00,1398.56
1/28/00,1360.16
1/31/00,1394.46
2/1/00,1409.28
2/2/00,1409.12
2/3/00,1424.97
2/4/00,1424.37
2/7/00,1424.24
2/8/00,1441.72
2/9/00,1411.7
2/10/00,1416.83
2/11/00,1387.12
2/14/00,1389.94
2/15/00,1402.05
2/16/00,1387.67
2/17/00,1388.26
2/18/00,1346.09
2/22/00,1352.17
2/23/00,1360.69
2/24/00,1353.43
2/25/00,1333.36
2/28/00,1348.05
2/29/00,1366.42
3/1/00,1379.19
3/2/00,1381.76
3/3/00,1409.17
3/6/00,1391.28
3/7/00,1355.62
3/8/00,1366.7
3/9/00,1401.69
3/10/00,1395.07
3/13/00,1383.62
3/14/00,1359.15
3/15/00,1392.15
3/16/00,1458.47
3/17/00,1464.47
3/20/00,1456.63
3/21/00,1493.87
3/22/00,1500.64
3/23/00,1527.35
3/24/00,1527.46
3/27/00,1523.86
3/28/00,1507.73
3/29/00,1508.52
3/30/00,1487.92
3/31/00,1498.58
4/3/00,1505.97
4/4/00,1494.73
4/5/00,1487.37
4/6/00,1501.34
4/7/00,1516.35
4/10/00,1504.46
4/11/00,1500.59
4/12/00,1467.17
4/13/00,1440.51
4/14/00,1356.56
4/17/00,1401.44
4/18/00,1441.61
4/19/00,1427.47
4/20/00,1434.54
4/24/00,1429.86
4/25/00,1477.44
4/26/00,1460.99
4/27/00,1464.92
4/28/00,1452.43
5/1/00,1468.25
5/2/00,1446.29
5/3/00,1415.1
5/4/00,1409.57
5/5/00,1432.63
5/8/00,1424.17
5/9/00,1412.14
5/10/00,1383.05
5/11/00,1407.81
5/12/00,1420.96
5/15/00,1452.36
5/16/00,1466.04
5/17/00,1447.8
5/18/00,1437.21
5/19/00,1406.95
5/22/00,1400.72
5/23/00,1373.86
5/24/00,1399.05
5/25/00,1381.52
5/26/00,1378.02
5/30/00,1422.45
5/31/00,1420.6
6/1/00,1448.81
6/2/00,1477.26
6/5/00,1467.63
6/6/00,1457.84
6/7/00,1471.36
6/8/00,1461.67
6/9/00,1456.95
6/12/00,1446
6/13/00,1469.44
6/14/00,1470.54
6/15/00,1478.73
6/16/00,1464.46
6/19/00,1486
6/20/00,1475.95
6/21/00,1479.13
6/22/00,1452.18
6/23/00,1441.48
6/26/00,1455.31
6/27/00,1450.55
6/28/00,1454.82
6/29/00,1442.39
6/30/00,1454.6
7/3/00,1469.54
7/5/00,1446.23
7/6/00,1456.67
7/7/00,1478.9
7/10/00,1475.62
7/11/00,1480.88
7/12/00,1492.92
7/13/00,1495.84
7/14/00,1509.98
7/17/00,1510.49
7/18/00,1493.74
7/19/00,1481.96
7/20/00,1495.57
7/21/00,1480.19
7/24/00,1464.29
7/25/00,1474.47
7/26/00,1452.42
7/27/00,1449.62
7/28/00,1419.89
7/31/00,1430.83
8/1/00,1438.1
8/2/00,1438.7
8/3/00,1452.56
8/4/00,1462.93
8/7/00,1479.32
8/8/00,1482.8
8/9/00,1472.87
8/10/00,1460.25
8/11/00,1471.84
8/14/00,1491.56
8/15/00,1484.43
8/16/00,1479.85
8/17/00,1496.07
8/18/00,1491.72
8/21/00,1499.48
8/22/00,1498.13
8/23/00,1505.97
8/24/00,1508.31
8/25/00,1506.45
8/28/00,1514.09
8/29/00,1509.84
8/30/00,1502.59
8/31/00,1517.68
9/1/00,1520.77
9/5/00,1507.08
9/6/00,1492.25
9/7/00,1502.51
9/8/00,1494.5
9/11/00,1489.26
9/12/00,1481.99
9/13/00,1484.91
9/14/00,1480.87
9/15/00,1465.81
9/18/00,1444.51
9/19/00,1459.9
9/20/00,1451.34
9/21/00,1449.05
9/22/00,1448.72
9/25/00,1439.03
9/26/00,1427.21
9/27/00,1426.57
9/28/00,1458.29
9/29/00,1436.51
10/2/00,1436.23
10/3/00,1426.46
10/4/00,1434.32
10/5/00,1436.28
10/6/00,1408.99
10/9/00,1402.03
10/10/00,1387.02
10/11/00,1364.59
10/12/00,1329.78
10/13/00,1374.17
10/16/00,1374.62
10/17/00,1349.97
10/18/00,1342.13
10/19/00,1388.76
10/20/00,1396.93
10/23/00,1395.78
10/24/00,1398.13
10/25/00,1364.9
10/26/00,1364.44
10/27/00,1379.58
10/30/00,1398.66
10/31/00,1429.4
11/1/00,1421.22
11/2/00,1428.32
11/3/00,1426.69
11/6/00,1432.19
11/7/00,1431.87
11/8/00,1409.28
11/9/00,1400.14
11/10/00,1365.98
11/13/00,1351.26
11/14/00,1382.95
11/15/00,1389.81
11/16/00,1372.32
11/17/00,1367.72
11/20/00,1342.62
11/21/00,1347.35
11/22/00,1322.36
11/24/00,1341.77
11/27/00,1348.97
11/28/00,1336.09
11/29/00,1341.91
11/30/00,1314.95
12/1/00,1315.23
12/4/00,1324.97
12/5/00,1376.54
12/6/00,1351.46
12/7/00,1343.55
12/8/00,1369.89
12/11/00,1380.2
12/12/00,1371.18
12/13/00,1359.99
12/14/00,1340.93
12/15/00,1312.15
12/18/00,1322.74
12/19/00,1305.6
12/20/00,1264.74
12/21/00,1274.86
12/22/00,1305.97
12/26/00,1315.19
12/27/00,1328.92
12/28/00,1334.22
12/29/00,1320.28
1/2/01,1283.27
1/3/01,1347.56
1/4/01,1333.34
1/5/01,1298.35
1/8/01,1295.86
1/9/01,1300.8
1/10/01,1313.27
1/11/01,1326.82
1/12/01,1318.32
1/16/01,1326.65
1/17/01,1329.47
1/18/01,1347.97
1/19/01,1342.54
1/22/01,1342.9
1/23/01,1360.4
1/24/01,1364.3
1/25/01,1357.51
1/26/01,1354.95
1/29/01,1364.17
1/30/01,1373.73
1/31/01,1366.01
2/1/01,1373.47
2/2/01,1349.47
2/5/01,1354.31
