Date,tsy2yr
1/3/00,6.384
1/4/00,6.299
1/5/00,6.358
1/6/00,6.299
1/7/00,6.308
1/10/00,6.359
1/11/00,6.428
1/12/00,6.472
1/13/00,6.394
1/14/00,6.43
1/17/00,6.43
1/18/00,6.465
1/19/00,6.448
1/20/00,6.492
1/21/00,6.458
1/24/00,6.406
1/25/00,6.432
1/26/00,6.442
1/27/00,6.506
1/28/00,6.557
1/31/00,6.591
2/1/00,6.574
2/2/00,6.592
2/3/00,6.523
2/4/00,6.618
2/7/00,6.67
2/8/00,6.678
2/9/00,6.653
2/10/00,6.662
2/11/00,6.645
2/14/00,6.619
2/15/00,6.628
2/16/00,6.611
2/17/00,6.672
2/18/00,6.638
2/21/00,6.638
2/22/00,6.551
2/23/00,6.621
2/24/00,6.521
2/25/00,6.395
2/28/00,6.513
2/29/00,6.521
3/1/00,6.504
3/2/00,6.513
3/3/00,6.495
3/6/00,6.529
3/7/00,6.486
3/8/00,6.495
3/9/00,6.477
3/10/00,6.537
3/13/00,6.511
3/14/00,6.468
3/15/00,6.494
3/16/00,6.485
3/17/00,6.485
3/20/00,6.51
3/21/00,6.502
3/22/00,6.475
3/23/00,6.501
3/24/00,6.624
3/27/00,6.615
3/28/00,6.598
3/29/00,6.589
3/30/00,6.484
3/31/00,6.479
4/3/00,6.419
4/4/00,6.308
4/5/00,6.3
4/6/00,6.393
4/7/00,6.366
4/10/00,6.263
4/11/00,6.331
4/12/00,6.357
4/13/00,6.348
4/14/00,6.235
4/17/00,6.316
4/18/00,6.329
4/19/00,6.32
4/20/00,6.362
4/21/00,6.362
4/24/00,6.388
4/25/00,6.484
4/26/00,6.501
4/27/00,6.613
4/28/00,6.676
5/1/00,6.719
5/2/00,6.711
5/3/00,6.746
5/4/00,6.754
5/5/00,6.824
5/8/00,6.851
5/9/00,6.843
5/10/00,6.791
5/11/00,6.809
5/12/00,6.897
5/15/00,6.845
5/16/00,6.872
5/17/00,6.899
5/18/00,6.908
5/19/00,6.84
5/22/00,6.814
5/23/00,6.788
5/24/00,6.832
5/25/00,6.71
5/26/00,6.672
5/29/00,6.672
5/30/00,6.731
5/31/00,6.672
6/1/00,6.587
6/2/00,6.51
6/5/00,6.492
6/6/00,6.492
6/7/00,6.534
6/8/00,6.543
6/9/00,6.542
6/12/00,6.499
6/13/00,6.481
6/14/00,6.412
6/15/00,6.42
6/16/00,6.35
6/19/00,6.384
6/20/00,6.427
6/21/00,6.496
6/22/00,6.487
6/23/00,6.539
6/26/00,6.486
6/27/00,6.494
6/28/00,6.459
6/29/00,6.354
6/30/00,6.362
7/3/00,6.294
7/5/00,6.285
7/6/00,6.336
7/7/00,6.276
7/10/00,6.301
7/11/00,6.309
7/12/00,6.326
7/13/00,6.283
7/14/00,6.395
7/17/00,6.438
7/18/00,6.429
7/19/00,6.455
7/20/00,6.316
7/21/00,6.324
7/24/00,6.342
7/25/00,6.333
7/26/00,6.333
7/27/00,6.263
7/28/00,6.28
7/31/00,6.288
8/1/00,6.237
8/2/00,6.22
8/3/00,6.212
8/4/00,6.135
8/7/00,6.177
8/8/00,6.16
8/9/00,6.159
8/10/00,6.159
8/11/00,6.244
8/14/00,6.227
8/15/00,6.27
8/16/00,6.287
8/17/00,6.287
8/18/00,6.252
8/21/00,6.278
8/22/00,6.26
8/23/00,6.208
8/24/00,6.188
8/25/00,6.197
8/28/00,6.222
8/29/00,6.256
8/30/00,6.231
8/31/00,6.163
9/1/00,6.078
9/4/00,6.082
9/5/00,6.078
9/6/00,6.103
9/7/00,6.128
9/8/00,6.094
9/11/00,6.119
9/12/00,6.119
9/13/00,6.076
9/14/00,6.093
9/15/00,6.067
9/18/00,6.024
9/19/00,6.067
9/20/00,6.092
9/21/00,6.023
9/22/00,6.083
9/25/00,6.092
9/26/00,6.048
9/27/00,6.048
9/28/00,6
9/29/00,5.979
10/2/00,5.97
10/3/00,5.995
10/4/00,6.012
10/5/00,6.004
10/6/00,5.969
10/9/00,5.995
10/10/00,5.935
10/11/00,5.935
10/12/00,5.824
10/13/00,5.857
10/16/00,5.882
10/17/00,5.831
10/18/00,5.83
10/19/00,5.839
10/20/00,5.829
10/23/00,5.811
10/24/00,5.828
10/25/00,5.906
10/26/00,5.913
10/27/00,5.93
10/30/00,5.956
10/31/00,5.914
11/1/00,5.872
11/2/00,5.855
11/3/00,5.932
11/6/00,5.966
11/7/00,5.974
11/8/00,5.957
11/9/00,5.949
11/10/00,5.89
11/13/00,5.881
11/14/00,5.907
11/15/00,5.89
11/16/00,5.856
11/17/00,5.873
11/20/00,5.864
11/21/00,5.856
11/22/00,5.839
11/23/00,5.817
11/24/00,5.865
11/27/00,5.856
11/28/00,5.795
11/29/00,5.647
11/30/00,5.613
12/1/00,5.604
12/4/00,5.604
12/5/00,5.469
12/6/00,5.426
12/7/00,5.434
12/8/00,5.442
12/11/00,5.526
12/12/00,5.518
12/13/00,5.432
12/14/00,5.407
12/15/00,5.371
12/18/00,5.32
12/19/00,5.345
12/20/00,5.208
12/21/00,5.147
12/22/00,5.076
12/25/00,5.084
12/26/00,5.126
12/27/00,5.177
12/28/00,5.154
12/29/00,5.096
1/1/01,5.104
1/2/01,4.862
1/3/01,4.929
1/4/01,4.787
1/5/01,4.569
1/8/01,4.56
1/9/01,4.659
1/10/01,4.775
1/11/01,4.733
1/12/01,4.891
1/16/01,4.881
1/17/01,4.822
1/18/01,4.72
1/19/01,4.735
1/22/01,4.743
1/23/01,4.828
1/24/01,4.844
1/25/01,4.762
1/26/01,4.771
1/29/01,4.762
1/30/01,4.696
1/31/01,4.572
2/1/01,4.555
2/2/01,4.637
2/5/01,4.67
2/6/01,4.687
2/7/01,4.72
2/8/01,4.712
2/9/01,4.636
2/12/01,4.661
2/13/01,4.719
2/14/01,4.855
2/15/01,4.838
2/16/01,4.719
2/19/01,4.702
2/20/01,4.727
2/21/01,4.693
2/22/01,4.596
2/23/01,4.53
2/26/01,4.448
2/27/01,4.439
2/28/01,4.39
3/1/01,4.406
3/2/01,4.463
3/5/01,4.479
3/6/01,4.47
3/7/01,4.404
3/8/01,4.403
3/9/01,4.469
3/12/01,4.402
3/13/01,4.435
3/14/01,4.275
3/15/01,4.216
3/16/01,4.24
3/19/01,4.298
3/20/01,4.205
3/21/01,4.213
3/22/01,4.145
3/23/01,4.261
3/26/01,4.269
3/27/01,4.413
3/28/01,4.345
3/29/01,4.271
3/30/01,4.18
4/2/01,4.213
4/3/01,4.122
4/4/01,4.097
4/5/01,4.171
4/6/01,4.079
4/9/01,4.087
4/10/01,4.212
4/11/01,4.27
4/12/01,4.354
4/13/01,4.346
4/16/01,4.439
4/17/01,4.431
4/18/01,4.245
4/19/01,4.312
4/20/01,4.236
4/23/01,4.126
4/24/01,4.134
4/25/01,4.21
4/26/01,4.144
4/27/01,4.259
4/30/01,4.276
5/1/01,4.227
5/2/01,4.252
5/3/01,4.219
5/4/01,4.145
5/7/01,4.095
5/8/01,4.112
5/9/01,4.07
5/10/01,4.162
5/11/01,4.314
5/14/01,4.272
5/15/01,4.239
5/16/01,4.231
5/17/01,4.324
5/18/01,4.359
5/21/01,4.342
5/22/01,4.326
5/23/01,4.249
5/24/01,4.301
5/25/01,4.268
5/28/01,4.268
5/29/01,4.312
5/30/01,4.303
5/31/01,4.188
6/1/01,4.213
6/4/01,4.179
6/5/01,4.105
6/6/01,4.113
6/7/01,4.121
6/8/01,4.153
6/11/01,4.087
6/12/01,4.061
6/13/01,4.044
6/14/01,4.002
6/15/01,3.976
6/18/01,3.967
6/19/01,3.958
6/20/01,3.949
6/21/01,3.957
6/22/01,3.897
6/25/01,3.922
6/26/01,4.006
6/27/01,4.108
6/28/01,4.209
6/29/01,4.242
7/2/01,4.168
7/3/01,4.235
7/4/01,4.236
7/5/01,4.237
7/6/01,4.12
7/9/01,4.112
7/10/01,4.003
7/11/01,4.054
7/12/01,4.037
7/13/01,4.071
7/16/01,4.038
7/17/01,4.08
7/18/01,3.92
7/19/01,3.946
7/20/01,3.946
7/23/01,3.937
7/24/01,3.937
7/25/01,3.98
7/26/01,3.912
7/27/01,3.863
7/30/01,3.846
7/31/01,3.797
8/1/01,3.813
8/2/01,3.895
8/3/01,3.895
8/6/01,3.862
8/7/01,3.87
8/8/01,3.73
8/9/01,3.729
8/10/01,3.687
8/13/01,3.67
8/14/01,3.72
8/15/01,3.786
8/16/01,3.719
8/17/01,3.643
8/20/01,3.718
8/21/01,3.676
8/22/01,3.726
8/23/01,3.692
8/24/01,3.768
8/27/01,3.734
8/28/01,3.666
8/29/01,3.631
8/30/01,3.596
8/31/01,3.629
9/3/01,3.629
9/4/01,3.794
9/5/01,3.769
9/6/01,3.637
9/7/01,3.505
9/10/01,3.504
9/11/01,3.517
9/13/01,2.984
9/14/01,2.866
9/17/01,2.939
9/18/01,2.947
9/19/01,2.814
9/20/01,2.879
9/21/01,2.867
9/24/01,2.908
9/25/01,2.848
9/26/01,2.806
9/27/01,2.762
9/28/01,2.851
10/1/01,2.803
10/2/01,2.746
10/3/01,2.746
10/4/01,2.738
10/5/01,2.721
10/8/01,2.697
10/9/01,2.729
10/10/01,2.754
10/11/01,2.836
10/12/01,2.803
10/15/01,2.754
10/16/01,2.737
10/17/01,2.762
10/18/01,2.745
10/19/01,2.754
10/22/01,2.779
10/23/01,2.77
10/24/01,2.695
10/25/01,2.649
10/26/01,2.625
10/29/01,2.56
10/30/01,2.448
10/31/01,2.423
11/1/01,2.487
11/2/01,2.486
11/5/01,2.445
11/6/01,2.332
11/7/01,2.299
11/8/01,2.404
11/9/01,2.426
11/12/01,2.409
11/13/01,2.515
11/14/01,2.713
11/15/01,2.969
11/16/01,3.012
11/19/01,2.912
11/20/01,2.945
11/21/01,3.072
11/22/01,3.081
11/23/01,3.15
11/26/01,3.183
11/27/01,3.023
11/28/01,3.057
11/29/01,2.866
11/30/01,2.841
12/3/01,2.776
12/4/01,2.8
12/5/01,3.061
12/6/01,3.168
12/7/01,3.201
12/10/01,3.053
12/11/01,2.971
12/12/01,2.971
12/13/01,3.037
12/14/01,3.153
12/17/01,3.137
12/18/01,3.087
12/19/01,3.07
